Starting Gen 6 N-Player training for 2000000 episodes on cpu...
Ep      100 | WinRT:  19.0% | AvgLen:  8.4 | ALoss: -0.002 | CLoss:  0.538 | Ent: 1.022 | Time:   6.9s
Ep      200 | WinRT:  23.0% | AvgLen:  8.1 | ALoss: -0.003 | CLoss:  0.544 | Ent: 1.025 | Time:  14.1s
Ep      300 | WinRT:  21.0% | AvgLen:  7.7 | ALoss: -0.003 | CLoss:  0.498 | Ent: 1.024 | Time:  21.4s
Ep      400 | WinRT:  13.0% | AvgLen:  7.9 | ALoss: -0.003 | CLoss:  0.341 | Ent: 1.021 | Time:  28.7s
Ep      500 | WinRT:   5.0% | AvgLen:  7.7 | ALoss: -0.003 | CLoss:  0.192 | Ent: 1.011 | Time:  35.8s
Ep      600 | WinRT:  25.0% | AvgLen:  8.0 | ALoss: -0.004 | CLoss:  0.643 | Ent: 1.006 | Time:  42.8s
Ep      700 | WinRT:  20.0% | AvgLen:  7.9 | ALoss: -0.002 | CLoss:  0.453 | Ent: 0.992 | Time:  49.8s
Ep      800 | WinRT:  16.0% | AvgLen:  7.2 | ALoss: -0.001 | CLoss:  0.421 | Ent: 0.969 | Time:  56.8s
Ep      900 | WinRT:  18.0% | AvgLen:  7.8 | ALoss: -0.001 | CLoss:  0.446 | Ent: 0.971 | Time:  63.5s
Ep     1000 | WinRT:  18.0% | AvgLen:  7.6 | ALoss: -0.001 | CLoss:  0.433 | Ent: 0.989 | Time:  70.6s
Ep     1100 | WinRT:  17.0% | AvgLen:  7.5 | ALoss: -0.003 | CLoss:  0.416 | Ent: 0.982 | Time:  77.3s
Ep     1200 | WinRT:  19.0% | AvgLen:  8.6 | ALoss: -0.004 | CLoss:  0.423 | Ent: 0.986 | Time:  84.5s
Ep     1300 | WinRT:  19.0% | AvgLen:  8.1 | ALoss: -0.003 | CLoss:  0.410 | Ent: 0.965 | Time:  91.5s
Ep     1400 | WinRT:  23.0% | AvgLen:  8.7 | ALoss: -0.004 | CLoss:  0.442 | Ent: 0.957 | Time:  98.8s
Ep     1500 | WinRT:  24.0% | AvgLen:  8.0 | ALoss: -0.001 | CLoss:  0.476 | Ent: 0.932 | Time: 105.6s
Ep     1600 | WinRT:  22.0% | AvgLen:  8.1 | ALoss: -0.006 | CLoss:  0.448 | Ent: 0.922 | Time: 112.6s
Ep     1700 | WinRT:  28.0% | AvgLen:  8.2 | ALoss: -0.003 | CLoss:  0.531 | Ent: 0.925 | Time: 119.6s
Ep     1800 | WinRT:  23.0% | AvgLen:  8.8 | ALoss: -0.003 | CLoss:  0.469 | Ent: 0.913 | Time: 126.7s
Ep     1900 | WinRT:  19.0% | AvgLen:  8.4 | ALoss: -0.004 | CLoss:  0.401 | Ent: 0.922 | Time: 133.7s
Ep     2000 | WinRT:  29.0% | AvgLen:  9.9 | ALoss: -0.003 | CLoss:  0.470 | Ent: 0.915 | Time: 141.3s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
